perft([I]) = 17 in 34.467µs (493.225K nodes/sec)
Finesse([]) Move(S, North, 4, 6, None) -> Move(S, North, 4, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft]) Move(S, North, 1, 6, None) -> Move(S, North, 1, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight]) Move(S, North, 8, 6, None) -> Move(S, North, 8, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft]) Move(S, North, 3, 6, None) -> Move(S, North, 3, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight]) Move(S, North, 5, 6, None) -> Move(S, North, 5, 6, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop]) Move(S, North, 4, 4, None) -> Move(S, North, 4, 4, None) vs Move(S, West, 2, 1, None)
Finesse([RotateCW]) Move(S, East, 4, 6, None) -> Move(S, East, 4, 6, None) vs Move(S, West, 2, 1, None)
Finesse([RotateCCW]) Move(S, West, 4, 6, None) -> Move(S, East, 3, 6, None) vs Move(S, West, 2, 1, None)
Finesse([RotateFlip]) Move(S, South, 4, 6, None) -> Move(S, North, 4, 5, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, ShiftRight]) Move(S, North, 2, 6, None) -> Move(S, North, 2, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, SoftDrop]) Move(S, North, 1, 3, None) -> Move(S, North, 1, 3, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, RotateCW]) Move(S, East, 1, 6, None) -> Move(S, East, 1, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, RotateCCW]) Move(S, West, 1, 6, None) -> Move(S, East, 0, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, RotateFlip]) Move(S, South, 1, 6, None) -> Move(S, North, 1, 5, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, ShiftLeft]) Move(S, North, 7, 6, None) -> Move(S, North, 7, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, SoftDrop]) Move(S, North, 8, 0, None) -> Move(S, North, 8, 0, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, RotateCW]) Move(S, East, 8, 6, None) -> Move(S, East, 8, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, RotateCCW]) Move(S, West, 8, 6, None) -> Move(S, East, 7, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, RotateFlip]) Move(S, South, 8, 6, None) -> Move(S, North, 8, 5, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft, SoftDrop]) Move(S, North, 3, 4, None) -> Move(S, North, 3, 4, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft, RotateCW]) Move(S, East, 3, 6, None) -> Move(S, East, 3, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft, RotateCCW]) Move(S, West, 3, 6, None) -> Move(S, East, 2, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft, RotateFlip]) Move(S, South, 3, 6, None) -> Move(S, North, 3, 5, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, ShiftRight]) Move(S, North, 6, 6, None) -> Move(S, North, 6, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, SoftDrop]) Move(S, North, 5, 0, None) -> Move(S, North, 5, 0, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, RotateCW]) Move(S, East, 5, 6, None) -> Move(S, East, 5, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, RotateCCW]) Move(S, West, 5, 6, None) -> Move(S, East, 4, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, RotateFlip]) Move(S, South, 5, 6, None) -> Move(S, North, 5, 5, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, DasLeft]) Move(S, North, 1, 4, None) -> Move(S, North, 1, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, DasRight]) Move(S, North, 8, 4, None) -> Move(S, North, 8, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, ShiftRight]) Move(S, North, 5, 4, None) -> Move(S, North, 5, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateCW]) Move(S, East, 4, 4, None) -> Move(S, East, 4, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateCCW]) Move(S, West, 4, 4, None) -> Move(S, East, 3, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateFlip]) Move(S, South, 4, 5, None) -> Move(S, North, 4, 4, None) vs Move(S, West, 2, 1, None)
Finesse([RotateCW, DasLeft]) Move(S, East, 0, 6, None) -> Move(S, East, 0, 6, None) vs Move(S, West, 2, 1, None)
Finesse([RotateCW, SoftDrop]) Move(S, East, 4, 1, None) -> Move(S, East, 4, 1, None) vs Move(S, West, 2, 1, None)
Finesse([RotateCCW, DasRight]) Move(S, West, 9, 6, None) -> Move(S, East, 8, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, ShiftRight, SoftDrop]) Move(S, North, 2, 3, None) -> Move(S, North, 2, 3, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, ShiftRight, RotateCW]) Move(S, East, 2, 6, None) -> Move(S, East, 2, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, ShiftRight, RotateCCW]) Move(S, West, 2, 6, None) -> Move(S, East, 1, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, ShiftRight, RotateFlip]) Move(S, South, 2, 6, None) -> Move(S, North, 2, 5, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, SoftDrop, RotateCW]) Move(S, East, 0, 3, None) -> Move(S, East, 0, 3, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, SoftDrop, RotateCCW]) Move(S, West, 1, 3, None) -> Move(S, East, 0, 3, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, SoftDrop, RotateFlip]) Move(S, South, 1, 4, None) -> Move(S, North, 1, 3, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, RotateCW, SoftDrop]) Move(S, East, 1, 4, None) -> Move(S, East, 1, 4, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, ShiftLeft, SoftDrop]) Move(S, North, 7, 0, None) -> Move(S, North, 7, 0, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, ShiftLeft, RotateCW]) Move(S, East, 7, 6, None) -> Move(S, East, 7, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, ShiftLeft, RotateCCW]) Move(S, West, 7, 6, None) -> Move(S, East, 6, 6, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, ShiftLeft, RotateFlip]) Move(S, South, 7, 6, None) -> Move(S, North, 7, 5, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, SoftDrop, RotateCW]) Move(S, East, 7, 1, None) -> Move(S, East, 7, 1, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, SoftDrop, RotateCCW]) Move(S, West, 9, 1, None) -> Move(S, East, 8, 1, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, SoftDrop, RotateFlip]) Move(S, South, 8, 1, None) -> Move(S, North, 8, 0, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, RotateCW, SoftDrop]) Move(S, East, 8, 1, None) -> Move(S, East, 8, 1, None) vs Move(S, West, 2, 1, None)
Finesse([DasRight, RotateCCW, SoftDrop]) Move(S, West, 8, 1, None) -> Move(S, East, 7, 1, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft, SoftDrop, ShiftLeft]) Move(S, North, 2, 4, None) -> Move(S, North, 2, 4, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft, SoftDrop, RotateCW]) Move(S, East, 3, 4, None) -> Move(S, East, 3, 4, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft, SoftDrop, RotateFlip]) Move(S, South, 3, 5, None) -> Move(S, North, 3, 4, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftLeft, RotateCCW, SoftDrop]) Move(S, West, 3, 5, None) -> Move(S, East, 2, 5, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, ShiftRight, SoftDrop]) Move(S, North, 6, 0, None) -> Move(S, North, 6, 0, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, ShiftRight, RotateCW]) Move(S, East, 6, 6, None) -> Move(S, East, 6, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, ShiftRight, RotateCCW]) Move(S, West, 6, 6, None) -> Move(S, East, 5, 6, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, ShiftRight, RotateFlip]) Move(S, South, 6, 6, None) -> Move(S, North, 6, 5, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, SoftDrop, RotateCCW]) Move(S, West, 6, 1, None) -> Move(S, East, 5, 1, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, SoftDrop, RotateFlip]) Move(S, South, 5, 1, None) -> Move(S, North, 5, 0, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, RotateCW, SoftDrop]) Move(S, East, 5, 1, None) -> Move(S, East, 5, 1, None) vs Move(S, West, 2, 1, None)
Finesse([ShiftRight, RotateCCW, SoftDrop]) Move(S, West, 5, 1, None) -> Move(S, East, 4, 1, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, DasLeft, RotateCCW]) Move(S, West, 1, 4, None) -> Move(S, East, 0, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, DasRight, ShiftLeft]) Move(S, North, 7, 4, None) -> Move(S, North, 7, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, DasRight, RotateCW]) Move(S, East, 8, 4, None) -> Move(S, East, 8, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, DasRight, RotateCCW]) Move(S, West, 8, 4, None) -> Move(S, East, 7, 4, None) vs Move(S, West, 2, 1, None)
